host,status,grade,score,verdict,ad_requests,ad_domains,ad_slots,sticky_ads,popups,trackers,ad_weight_pct,refs,starred,pages,url,checked_utc,error
www.spanishdict.com,,F,8.0,Ad-saturated / hostile,268,78,4,0,0,4,47.4,2,2,Educational,https://www.spanishdict.com/,2026-08-13T17:57:57+00:00,
www.creepypasta.com,,F,9.0,Ad-saturated / hostile,67,29,4,0,0,2,46.6,2,2,Misc,https://www.creepypasta.com/,2026-08-13T18:14:19+00:00,
www.phptutorial.net,,F,9.5,Ad-saturated / hostile,318,61,4,0,0,1,88.2,1,1,Educational,https://www.phptutorial.net/,2026-08-14T14:46:47+00:00,
theonion.com,,F,9.7,Ad-saturated / hostile,92,25,5,0,0,8,12.7,2,2,Misc,https://theonion.com/,2026-08-13T18:14:19+00:00,
applegamingwiki.com,,F,9.8,Ad-saturated / hostile,275,80,4,0,0,4,26.3,2,2,Linux,https://applegamingwiki.com/,2026-08-13T18:14:19+00:00,
i.imgur.com,,F,9.8,Ad-saturated / hostile,235,63,13,0,0,4,6.5,5,2,Educational Linux Misc Music,https://i.imgur.com/0vfM4dm.png,2026-08-13T16:09:28+00:00,
www.whatbeatsrock.com,,F,10.0,Ad-saturated / hostile,104,11,2,2,0,0,81.6,2,2,Misc,https://www.whatbeatsrock.com/,2026-08-13T18:14:19+00:00,
3dsroms.org,,F,10.5,Ad-saturated / hostile,34,6,5,0,0,3,39.1,1,1,Gaming,https://3dsroms.org,2026-08-14T17:12:05+00:00,
www.thegreatestbooks.org,,F,11.5,Ad-saturated / hostile,29,4,6,0,0,3,34.0,2,2,Reading,https://www.thegreatestbooks.org/,2026-08-13T20:28:46+00:00,
drivenlisten.com,,F,11.9,Ad-saturated / hostile,96,31,3,2,0,2,14.2,2,2,Music,https://drivenlisten.com/,2026-08-13T18:14:19+00:00,
rpgbot.net,,F,12.0,Ad-saturated / hostile,196,74,2,1,0,6,84.8,1,1,Educational,https://rpgbot.net/,2026-08-14T14:46:47+00:00,
www.bbc.co.uk,,F,12.5,Ad-saturated / hostile,245,46,4,0,0,0,25.0,10,3,Educational Music Streaming,https://www.bbc.co.uk/sounds,2026-08-13T16:09:28+00:00,
studyspanish.com,,F,13.5,Ad-saturated / hostile,202,74,3,0,0,3,32.6,2,2,Educational,https://studyspanish.com/,2026-08-13T17:57:57+00:00,
www.worldometers.info,,F,13.5,Ad-saturated / hostile,556,107,2,1,0,3,81.6,2,2,Educational,https://www.worldometers.info/,2026-08-13T17:57:57+00:00,
editor.audio,online,F,13.5,Ad-saturated / hostile,557,84,2,1,0,3,50.2,1,1,Music,https://editor.audio/,2026-08-18T17:22:03+00:00,
www.nytimes.com,,F,13.7,Ad-saturated / hostile,43,10,4,0,0,1,21.7,8,2,Gaming Misc,https://www.nytimes.com/athletic/,2026-08-13T16:09:28+00:00,
agnai.chat,,F,14.0,Ad-saturated / hostile,156,48,3,0,0,2,89.8,2,2,Artificial-Intelligence,https://agnai.chat/,2026-08-13T17:57:57+00:00,
flagid.org,,F,14.0,Ad-saturated / hostile,208,65,3,0,0,2,70.5,1,1,Educational,https://flagid.org/,2026-08-14T14:46:47+00:00,
store.rg-adguard.net,,F,14.0,Ad-saturated / hostile,26,8,2,1,0,4,48.1,1,1,Downloading,https://store.rg-adguard.net/,2026-08-14T14:46:47+00:00,
www.cpubenchmark.net,,F,14.0,Ad-saturated / hostile,166,59,3,0,0,2,47.8,2,2,Misc,https://www.cpubenchmark.net/,2026-08-13T18:14:19+00:00,
www.nesfiles.com,,F,14.0,Ad-saturated / hostile,53,5,4,1,0,2,64.8,2,2,Gaming,https://www.nesfiles.com/,2026-08-13T17:57:57+00:00,
www.sms24.me,,F,14.0,Ad-saturated / hostile,134,17,3,0,0,2,79.9,2,2,Storage,https://www.sms24.me/,2026-08-13T20:28:46+00:00,
